12659,XCD,FJD,2018-11-23 23:58:20,AAA
39633,AAA,THB,2018-11-23 23:58:20,42
19804,,TTD,2018-11-23 23:58:20,
10282,AAA,XAF,2018-11-23 23:58:20,79
29833,AAA,AUD,2018-11-23 23:58:20,78
98550,BND,INR,2018-11-23 23:58:21,AAA
32563,,MOP,2018-11-23 23:58:20,
18355,,JMD,2018-11-23 23:58:20,
24896,,XOF,2018-11-23 23:58:20,
86725,AAA,XBA,2018-11-23 23:58:21,33
70419,LSM,ISK,2018-11-23 23:58:21,AAA
83750,GWP,LYD,2018-11-23 23:58:21,AAA
83529,AAA,CYP,2018-11-23 23:58:21,21
89601,,ISK,2018-11-23 23:58:21,
23184,AAA,IDR,2018-11-23 23:58:20,29
20653,JPY,XBB,2018-11-23 23:58:20,AAA
72821,,IQD,2018-11-23 23:58:21,
78536,HUF,IEP,2018-11-23 23:58:21,AAA
19635,,MZM,2018-11-23 23:58:20,
81628,,BHD,2018-11-23 23:58:21,
67253,AAA,AUD,2018-11-23 23:58:21,90
28386,NOK,EUR,2018-11-23 23:58:20,AAA
54506,ESA,ETB,2018-11-23 23:58:21,AAA
23050,AAA,BBD,2018-11-23 23:58:20,39
58259,TPE,SCR,2018-11-23 23:58:21,AAA
4605,XCD,NGN,2018-11-23 23:58:20,AAA
20841,LRD,CAD,2018-11-23 23:58:20,AAA
11844,AAA,PHP,2018-11-23 23:58:20,9
69104,NOK,CUP,2018-11-23 23:58:21,AAA
78059,AAA,ESP,2018-11-23 23:58:21,98
77436,AAA,LRD,2018-11-23 23:58:21,51
77101,DEM,LAK,2018-11-23 23:58:21,AAA
3018,AAA,PLZ,2018-11-23 23:58:20,65
17119,AAA,BEF,2018-11-23 23:58:20,69
82538,GRD,LBP,2018-11-23 23:58:21,AAA
53318,,CAD,2018-11-23 23:58:20,
27527,,SEK,2018-11-23 23:58:20,
15998,,ATS,2018-11-23 23:58:20,
29581,AAA,BOP,2018-11-23 23:58:20,71
95561,,TRL,2018-11-23 23:58:21,
78993,,CRC,2018-11-23 23:58:21,
66818,AAA,SOS,2018-11-23 23:58:21,32
71525,,CUP,2018-11-23 23:58:21,
57317,	MVR,YDD,2018-11-23 23:58:21,AAA
22087,AAA,ESA,2018-11-23 23:58:20,75
24169,,XCD,2018-11-23 23:58:20,
23904,,AED,2018-11-23 23:58:20,
79908,,FIM,2018-11-23 23:58:21,
42508,AAA,BBD,2018-11-23 23:58:20,99
23789,AAA,BHD,2018-11-23 23:58:20,78
77730,CAD,XBD,2018-11-23 23:58:21,AAA
51713,AAA,USN,2018-11-23 23:58:20,72
28591,AAA,CSK,2018-11-23 23:58:20,97
23383,AAA,XBA,2018-11-23 23:58:20,55
76712,,LBP,2018-11-23 23:58:21,
84602,DOP,SRG,2018-11-23 23:58:21,AAA
10666,,ISK,2018-11-23 23:58:20,
1318,,MNT,2018-11-23 23:58:20,
3670,AAA,INR,2018-11-23 23:58:20,73
52188,NGN,GYD,2018-11-23 23:58:20,AAA
71983,,JMD,2018-11-23 23:58:21,
8803,,XBB,2018-11-23 23:58:20,
13489,AAA,USS,2018-11-23 23:58:20,59
72611,,BND,2018-11-23 23:58:21,
4982,KRW,CSK,2018-11-23 23:58:20,AAA
45545,BBD,CVE,2018-11-23 23:58:20,AAA
46016,ESA,VEB,2018-11-23 23:58:20,AAA
43140,SVC,SBD,2018-11-23 23:58:20,AAA
78850,AAA,PGK,2018-11-23 23:58:21,54
95920,BBD,RWF,2018-11-23 23:58:21,AAA
50889,,INR,2018-11-23 23:58:20,
17246,,FKP,2018-11-23 23:58:20,
49141,,PLZ,2018-11-23 23:58:20,
66122,PTE,LKR,2018-11-23 23:58:21,AAA
91621,AAA,PGK,2018-11-23 23:58:21,98
42333,,KPW,2018-11-23 23:58:20,
58307,HTG,PYG,2018-11-23 23:58:21,AAA
58802,,AOK,2018-11-23 23:58:21,
38420,SYP,SGD,2018-11-23 23:58:20,AAA
16874,BRC,TZS,2018-11-23 23:58:20,AAA
8511,MXP,LBP,2018-11-23 23:58:20,AAA
43322,,EGP,2018-11-23 23:58:20,
19962,YER,ZRZ,2018-11-23 23:58:20,AAA
62460,,SHP,2018-11-23 23:58:21,
15760,AAA,SYP,2018-11-23 23:58:20,80
94383,AAA,BDT,2018-11-23 23:58:21,11
18378,,AUD,2018-11-23 23:58:20,
31432,LAK,COP,2018-11-23 23:58:20,AAA
12416,AAA,BUK,2018-11-23 23:58:20,61
86492,ARP,XCD,2018-11-23 23:58:21,AAA
81049,XBA,HNL,2018-11-23 23:58:21,AAA
86673,ALL,GNS,2018-11-23 23:58:21,AAA
28201,,HUF,2018-11-23 23:58:20,
9892,XDR,USS,2018-11-23 23:58:20,AAA
65470,DJF,FKP,2018-11-23 23:58:21,AAA
89638,HNL,SRG,2018-11-23 23:58:21,AAA
25078,AAA,XEU,2018-11-23 23:58:20,61
64947,ZMK,AED,2018-11-23 23:58:21,AAA
43057,,FKP,2018-11-23 23:58:20,
97715,MRO,ISK,2018-11-23 23:58:21,AAA
43422,DDM,MNT,2018-11-23 23:58:20,AAA
45154,AAA,SDP,2018-11-23 23:58:20,2
81355,AAA,ALL,2018-11-23 23:58:21,5
91262,GNS,SEK,2018-11-23 23:58:21,AAA
90505,BMD,IQD,2018-11-23 23:58:21,AAA
18434,CLP,HKD,2018-11-23 23:58:20,AAA
96491,QAR,AED,2018-11-23 23:58:21,AAA
5445,AAA,ANG,2018-11-23 23:58:20,68
61547,AAA,SVC,2018-11-23 23:58:21,78
1788,SDP,PLZ,2018-11-23 23:58:20,AAA
78227,VEB,ETB,2018-11-23 23:58:21,AAA
21552,XPF,BND,2018-11-23 23:58:20,AAA
6257,,KWD,2018-11-23 23:58:20,
45204,,DKK,2018-11-23 23:58:20,
12289,AAA,XXX,2018-11-23 23:58:20,14
44208,AAA,SLL,2018-11-23 23:58:20,85
77891,MYR,XCD,2018-11-23 23:58:21,AAA
33048,AAA,KHR,2018-11-23 23:58:20,3
63067,,MLF,2018-11-23 23:58:21,
35648,MAD,USD,2018-11-23 23:58:20,AAA
5203,AAA,CUP,2018-11-23 23:58:20,72
47688,AAA,ILS,2018-11-23 23:58:20,12
74013,ITL,DDM,2018-11-23 23:58:21,AAA
44380,YUD,ARP,2018-11-23 23:58:20,AAA
43846,AAA,XXX,2018-11-23 23:58:20,20
24970,AAA,MYR,2018-11-23 23:58:20,2
54591,JOD,BEL,2018-11-23 23:58:21,AAA
48207,,WST,2018-11-23 23:58:20,
14433,AAA,USS,2018-11-23 23:58:20,39
33714,,HTG,2018-11-23 23:58:20,
21556,,YUD,2018-11-23 23:58:20,
56318,AAA,KRW,2018-11-23 23:58:21,62
76683,,BEF,2018-11-23 23:58:21,
49077,,BRC,2018-11-23 23:58:20,
24812,,TRL,2018-11-23 23:58:20,
67792,MAD,ATS,2018-11-23 23:58:21,AAA
9071,,KPW,2018-11-23 23:58:20,
79558,,SZL,2018-11-23 23:58:21,
54352,AAA,MLF,2018-11-23 23:58:20,70
33804,AAA,HKD,2018-11-23 23:58:20,16
40443,AAA,USS,2018-11-23 23:58:20,95
37920,XEU,KYD,2018-11-23 23:58:20,AAA
24416,AAA,FJD,2018-11-23 23:58:20,82
15499,AAA,EGP,2018-11-23 23:58:20,71
21057,,JOD,2018-11-23 23:58:20,
24431,AFA,LYD,2018-11-23 23:58:20,AAA
56821,UGS,GQE,2018-11-23 23:58:21,AAA
83175,AED,PGK,2018-11-23 23:58:21,AAA
55932,BEL,LBP,2018-11-23 23:58:21,AAA
10577,AAA,PHP,2018-11-23 23:58:20,39
59100,AAA,LSM,2018-11-23 23:58:21,36
74218,CUP,IDR,2018-11-23 23:58:21,AAA
54609,TWD,TWD,2018-11-23 23:58:21,AAA
15177,,LSM,2018-11-23 23:58:20,
95234,AAA,GNS,2018-11-23 23:58:21,87
27767,PYG,NGN,2018-11-23 23:58:20,AAA
62375,LRD,LSM,2018-11-23 23:58:21,AAA
68614,ZAL,LSM,2018-11-23 23:58:21,AAA
3750,AAA,BND,2018-11-23 23:58:20,49
76553,,MXP,2018-11-23 23:58:21,
88085,RWF,COP,2018-11-23 23:58:21,AAA
17938,,NIC,2018-11-23 23:58:20,
33382,BEF,CHF,2018-11-23 23:58:20,AAA
51700,,CSK,2018-11-23 23:58:20,
73622,BSD,RWF,2018-11-23 23:58:21,AAA
79205,,XCD,2018-11-23 23:58:21,
13231,AAA,SGD,2018-11-23 23:58:20,28
73048,AAA,KRW,2018-11-23 23:58:21,72
74668,,NZD,2018-11-23 23:58:21,
84264,CUP,XCD,2018-11-23 23:58:21,AAA
74032,AAA,MWK,2018-11-23 23:58:21,75
39473,,CRC,2018-11-23 23:58:20,
16614,GRD,BHD,2018-11-23 23:58:20,AAA
380,AAA,AUD,2018-11-23 23:58:20,15
57492,,PTE,2018-11-23 23:58:21,
54512,AAA,TOP,2018-11-23 23:58:21,77
64427,,WST,2018-11-23 23:58:21,
71431,AAA,EUR,2018-11-23 23:58:21,13
67406,ESP,ILS,2018-11-23 23:58:21,AAA
96455,,MRO,2018-11-23 23:58:21,
64446,AAA,USN,2018-11-23 23:58:21,92
9345,,IEP,2018-11-23 23:58:20,
25148,ETB,IQD,2018-11-23 23:58:20,AAA
7951,,LBP,2018-11-23 23:58:20,
81525,,TRL,2018-11-23 23:58:21,
12183,,YER,2018-11-23 23:58:20,
70940,AAA,ZRZ,2018-11-23 23:58:21,48
94720,AAA,USN,2018-11-23 23:58:21,83
92463,BIF,SZL,2018-11-23 23:58:21,AAA
95609,,PYG,2018-11-23 23:58:21,
95151,,DDM,2018-11-23 23:58:21,
90250,,ATS,2018-11-23 23:58:21,
26507,AAA,LKR,2018-11-23 23:58:20,57
22778,,XEU,2018-11-23 23:58:20,
88401,AAA,TRL,2018-11-23 23:58:21,53
74409,STD,UGS,2018-11-23 23:58:21,AAA
